Bailleur,Locataire,Loyer annuel (euros),Durée (années),Date de début,Adresse location,Charges (euros),Code Postal location,Date d'expiration,Date de signature du bail,Indice de référence pour l'indexation du loyer,Résumé,Ville location,filename,Bailleur Geometry,Bailleur Page,Locataire Geometry,Locataire Page,Loyer annuel (euros) Geometry,Loyer annuel (euros) Page,Durée (années) Geometry,Durée (années) Page,Date de début Geometry,Date de début Page,Adresse location Geometry,Adresse location Page,Charges (euros) Geometry,Charges (euros) Page,Code Postal location Geometry,Code Postal location Page,Date d'expiration Geometry,Date d'expiration Page,Date de signature du bail Geometry,Date de signature du bail Page,Indice de référence pour l'indexation du loyer Geometry,Indice de référence pour l'indexation du loyer Page,Ville location Geometry,Ville location Page
La Société AEW Europe,La Société Fayet,85000,9,2025-02-01,"15, Rue de la Banque",refacturées au LOCATAIRE sur justificatifs,75002,2034-01-31,2025-09-16,2025-09-16,"Contrat de bail commercial entre la société AEW Europe (Bailleur) et la société Fayet (Locataire) pour des locaux à usage de restaurant situés à Paris. Le bail est d'une durée de 9 ans à compter du 1er février 2025, pour un loyer annuel de 85 000 euros hors charges.",Paris,fayet_bail_commercial.pdf,"{'Width': 0.224238783121109, 'Height': 0.016351470723748207, 'Left': 0.09652815014123917, 'Top': 0.2559630572795868}",1,"{'Width': 0.1590663641691208, 'Height': 0.015747901052236557, 'Left': 0.09653390198945999, 'Top': 0.5014548301696777}",1,"{'Width': 0.8078420162200928, 'Height': 0.016344275325536728, 'Left': 0.09658952057361603, 'Top': 0.8699967861175537}",2,"{'Width': 0.8098812103271484, 'Height': 0.01586342789232731, 'Left': 0.09595075994729996, 'Top': 0.28570762276649475}",3,"{'Width': 0.7492611408233643, 'Height': 0.01644081249833107, 'Left': 0.09571568667888641, 'Top': 0.3088037669658661}",3,"{'Width': 0.8084385991096497, 'Height': 0.016077788546681404, 'Left': 0.09630989283323288, 'Top': 0.14850600063800812}",2,"{'Width': 0.24703478813171387, 'Height': 0.015598909929394722, 'Left': 0.0966380387544632, 'Top': 0.1776561588048935}",3,"{'Width': 0.11752002686262131, 'Height': 0.012491092085838318, 'Left': 0.09598077833652496, 'Top': 0.17159488797187805}",2,"{'Width': 0.7492611408233643, 'Height': 0.01644081249833107, 'Left': 0.09571568667888641, 'Top': 0.3088037669658661}",3,"{'Width': 0.31589704751968384, 'Height': 0.015752483159303665, 'Left': 0.09677845239639282, 'Top': 0.4931529462337494}",10,"{'Width': 0.31589704751968384, 'Height': 0.015752483159303665, 'Left': 0.09677845239639282, 'Top': 0.4931529462337494}",10,"{'Width': 0.11752002686262131, 'Height': 0.012491092085838318, 'Left': 0.09598077833652496, 'Top': 0.17159488797187805}",2
La Société AEW Europe,La Société Fayet,85000,9,2025-02-01,"15, Rue de la Banque",refacturées au LOCATAIRE sur justificatifs,75002,2034-01-31,2025-09-16,2025-09-16,"Contrat de bail commercial entre la société AEW Europe en tant que bailleur et la société Fayet en tant que locataire. Le bail concerne des locaux à usage de restaurant situés au 15, Rue de la Banque, 75002 Paris. La durée du bail est de 9 ans, à compter du 1er février 2025, pour un loyer annuel de 85 000 euros hors charges.",Paris,fayet_bail_commercial.pdf,"{'Width': 0.224238783121109, 'Height': 0.016351470723748207, 'Left': 0.09652815014123917, 'Top': 0.2559630572795868}",1,"{'Width': 0.1590663641691208, 'Height': 0.015747901052236557, 'Left': 0.09653390198945999, 'Top': 0.5014548301696777}",1,"{'Width': 0.8078420162200928, 'Height': 0.016344275325536728, 'Left': 0.09658952057361603, 'Top': 0.8699967861175537}",2,"{'Width': 0.8098812103271484, 'Height': 0.01586342789232731, 'Left': 0.09595075994729996, 'Top': 0.28570762276649475}",3,"{'Width': 0.7492611408233643, 'Height': 0.01644081249833107, 'Left': 0.09571568667888641, 'Top': 0.3088037669658661}",3,"{'Width': 0.8084385991096497, 'Height': 0.016077788546681404, 'Left': 0.09630989283323288, 'Top': 0.14850600063800812}",2,"{'Width': 0.24703478813171387, 'Height': 0.015598909929394722, 'Left': 0.0966380387544632, 'Top': 0.1776561588048935}",3,"{'Width': 0.11752002686262131, 'Height': 0.012491092085838318, 'Left': 0.09598077833652496, 'Top': 0.17159488797187805}",2,"{'Width': 0.7492611408233643, 'Height': 0.01644081249833107, 'Left': 0.09571568667888641, 'Top': 0.3088037669658661}",3,"{'Width': 0.31589704751968384, 'Height': 0.015752483159303665, 'Left': 0.09677845239639282, 'Top': 0.4931529462337494}",10,"{'Width': 0.31589704751968384, 'Height': 0.015752483159303665, 'Left': 0.09677845239639282, 'Top': 0.4931529462337494}",10,"{'Width': 0.11752002686262131, 'Height': 0.012491092085838318, 'Left': 0.09598077833652496, 'Top': 0.17159488797187805}",2
La société société civile immobilière,La,226037,9,2007-07-04,sis à,"Le LOCATAIRE devra payer toutes charges, impôts et taxes liés à l'exploitation de son fonds",93420,2016-07-03,2007-05-14,1200-01-01,"Contrat de bail commercial pour un restaurant, signé le 14 mai 2007. La durée est de 9 ans, du 4 juillet 2007 au 3 juillet 2016. Le loyer est de 12% du chiffre d'affaires HT, avec un minimum garanti de 226 037 euros la première année. Le locataire assume toutes les charges et taxes.",Villepinte,Q448 ANTIBES - 0707 Bail_biff.pdf,"{'Width': 0.08482514321804047, 'Height': 0.011289493180811405, 'Left': 0.12138182669878006, 'Top': 0.1942320615053177}",1,"{'Width': 0.020657964050769806, 'Height': 0.010783391073346138, 'Left': 0.12120046466588974, 'Top': 0.3675398826599121}",1,"{'Width': 0.4056696891784668, 'Height': 0.013831344433128834, 'Left': 0.11867140978574753, 'Top': 0.6432886719703674}",2,"{'Width': 0.768669605255127, 'Height': 0.013728686608374119, 'Left': 0.11952298134565353, 'Top': 0.281482458114624}",3,"{'Width': 0.5230728387832642, 'Height': 0.013810966163873672, 'Left': 0.11880449205636978, 'Top': 0.2957874536514282}",3,"{'Width': 0.03628187254071236, 'Height': 0.011016528122127056, 'Left': 0.1198015809059143, 'Top': 0.8469342589378357}",1,"{'Width': 0.7674909830093384, 'Height': 0.01399935595691204, 'Left': 0.11940661817789078, 'Top': 0.9123484492301941}",5,"{'Width': 0.13219895958900452, 'Height': 0.013764278031885624, 'Left': 0.11931019276380539, 'Top': 0.15459680557250977}",8,"{'Width': 0.5230728387832642, 'Height': 0.013810966163873672, 'Left': 0.11880449205636978, 'Top': 0.2957874536514282}",3,"{'Width': 0.30352139472961426, 'Height': 0.031864043325185776, 'Left': 0.1193048432469368, 'Top': 0.16485783457756042}",8,"{'Width': 0.7587903738021851, 'Height': 0.013800274580717087, 'Left': 0.11964591592550278, 'Top': 0.5263081192970276}",2,"{'Width': 0.13219895958900452, 'Height': 0.013764278031885624, 'Left': 0.11931019276380539, 'Top': 0.15459680557250977}",8
Bailleur,Preneur,17094068,12,2007-01-01,centre commercad Carrefour,"Le Preneur s'engage à assurer la totalité des charges de fonctionnement, d'exploitation, d'entretien, de gardiennage, de nettoyage et de la gestion technique des Locaux Loués",83190,2019-01-01,2007-01-01,2007-01-01,"Bail commercial pour une durée ferme de 12 ans, concernant un portefeuille de locaux à usage de restauration. Le loyer annuel initial est de 17 094 068 euros, indexé annuellement sur l'IRL. Le preneur est responsable de l'ensemble des charges, taxes, et réparations, y compris les grosses réparations de l'article 606 du Code civil.",OLLIOULES,bail type SLB - Foncire Des Murs - 29 mai 2007_biff.pdf,"{'Width': 0.012904496863484383, 'Height': 0.26707372069358826, 'Left': 0.5294176340103149, 'Top': 0.5835303664207458}",1,"{'Width': 0.013689631596207619, 'Height': 0.2680284380912781, 'Left': 0.25205814838409424, 'Top': 0.585503339767456}",1,"{'Width': 0.004913192242383957, 'Height': 0.034079622477293015, 'Left': 0.9500628113746643, 'Top': 0.31276601552963257}",29,"{'Width': 0.01330232061445713, 'Height': 0.6646732687950134, 'Left': 0.6945169568061829, 'Top': 0.1391415297985077}",6,"{'Width': 0.006198300048708916, 'Height': 0.03681138530373573, 'Left': 0.1435808390378952, 'Top': 0.3238350749015808}",29,"{'Width': 0.005518185440450907, 'Height': 0.14655128121376038, 'Left': 0.17209044098854065, 'Top': 0.5381484627723694}",29,"{'Width': 0.01304672658443451, 'Height': 0.6779913306236267, 'Left': 0.5887858867645264, 'Top': 0.1357312649488449}",22,"{'Width': 0.005518185440450907, 'Height': 0.14655128121376038, 'Left': 0.17209044098854065, 'Top': 0.5381484627723694}",29,"{'Width': 0.01330232061445713, 'Height': 0.6646732687950134, 'Left': 0.6945169568061829, 'Top': 0.1391415297985077}",6,"{'Width': 0.006198300048708916, 'Height': 0.03681138530373573, 'Left': 0.1435808390378952, 'Top': 0.3238350749015808}",29,"{'Width': 0.006198300048708916, 'Height': 0.03681138530373573, 'Left': 0.1435808390378952, 'Top': 0.3238350749015808}",29,"{'Width': 0.005518185440450907, 'Height': 0.14655128121376038, 'Left': 0.17209044098854065, 'Top': 0.5381484627723694}",29
LE BAILLEUR,LE PRENEUR,28740,9,2009-02-27,Parc d'Activités de Paris Nord II,"112,50 EUR HT par trimestre",77990,2018-02-26,2009-02-20,2009-01-09,"Bail commercial pour des locaux à usage industriel et commercial, d'une durée de 9 ans, du 27 février 2009 au 26 février 2018. Le loyer annuel est de 28 740 euros, avec des charges trimestrielles de 112,50 euros. Le bien est situé au Parc d'Activités de Paris Nord II. L'indexation du loyer est basée sur l'indice du coût de la construction du 3ème trimestre 2008, publié le 9 janvier 2009.",NANTERRE,cong + bail VILLEPINTE FQ 1er tage_biff.pdf,"{'Width': 0.28736352920532227, 'Height': 0.012860963121056557, 'Left': 0.12431761622428894, 'Top': 0.2469639778137207}",2,"{'Width': 0.2811897397041321, 'Height': 0.012926846742630005, 'Left': 0.12359790503978729, 'Top': 0.5028204917907715}",2,"{'Width': 0.8152168393135071, 'Height': 0.013037433847784996, 'Left': 0.12335530668497086, 'Top': 0.7879784107208252}",4,"{'Width': 0.8129947185516357, 'Height': 0.012909170240163803, 'Left': 0.12460117787122726, 'Top': 0.48751625418663025}",4,"{'Width': 0.45723670721054077, 'Height': 0.01270759291946888, 'Left': 0.30192527174949646, 'Top': 0.5329499840736389}",4,"{'Width': 0.4973602890968323, 'Height': 0.01267120148986578, 'Left': 0.2485617697238922, 'Top': 0.3059929609298706}",21,"{'Width': 0.8114378452301025, 'Height': 0.01276372466236353, 'Left': 0.12435351312160492, 'Top': 0.11157955974340439}",6,"{'Width': 0.4973602890968323, 'Height': 0.01267120148986578, 'Left': 0.2485617697238922, 'Top': 0.3059929609298706}",21,"{'Width': 0.45723670721054077, 'Height': 0.01270759291946888, 'Left': 0.30192527174949646, 'Top': 0.5329499840736389}",4,"{'Width': 0.1467284858226776, 'Height': 0.017938008531928062, 'Left': 0.646828293800354, 'Top': 0.3657139539718628}",21,"{'Width': 0.2531995475292206, 'Height': 0.010701301507651806, 'Left': 0.1737728714942932, 'Top': 0.7593571543693542}",5,"{'Width': 0.1505957543849945, 'Height': 0.01216171681880951, 'Left': 0.5563794374465942, 'Top': 0.3510383367538452}",21
SOCOMIE,Quick,791276.48,9,2002-04-01,ensemble,38510.16 EUR HT par trimestre,75000,2011-03-31,2001-10-04,2001-09-30,"Contrat de bail commercial d'une durée ferme de 9 ans, du 1er avril 2002 au 31 mars 2011, entre le bailleur SOCOMIE et le preneur Quick. Le loyer annuel est fixé à 791 276,48 euros, hors taxes et hors charges. Une provision trimestrielle pour charges de 38 510,16 euros est également due. Le loyer est indexé annuellement sur l'indice du coût de la construction, avec pour référence initiale l'indice du 3ème trimestre 2001.",PARIS,cong + bail VILLEPINTE FQ 2me tage_biff.pdf,"{'Width': 0.009476535953581333, 'Height': 0.07176508754491806, 'Left': 0.9289707541465759, 'Top': 0.06103275716304779}",21,"{'Width': 0.16848351061344147, 'Height': 0.009859556332230568, 'Left': 0.11087113618850708, 'Top': 0.9727244973182678}",22,"{'Width': 0.810408890247345, 'Height': 0.013262458145618439, 'Left': 0.12830114364624023, 'Top': 0.12169702351093292}",5,"{'Width': 0.812916100025177, 'Height': 0.01306892093271017, 'Left': 0.12417907267808914, 'Top': 0.5863017439842224}",4,"{'Width': 0.38620516657829285, 'Height': 0.012349764816462994, 'Left': 0.3364640772342682, 'Top': 0.6321572661399841}",4,"{'Width': 0.06964018195867538, 'Height': 0.010473202913999557, 'Left': 0.7805618047714233, 'Top': 0.7240579128265381}",2,"{'Width': 0.811247706413269, 'Height': 0.01309138908982277, 'Left': 0.12660163640975952, 'Top': 0.24253031611442566}",6,"{'Width': 0.17202766239643097, 'Height': 0.031093530356884003, 'Left': 0.5563321709632874, 'Top': 0.38184890151023865}",20,"{'Width': 0.38620516657829285, 'Height': 0.012349764816462994, 'Left': 0.3364640772342682, 'Top': 0.6321572661399841}",4,"{'Width': 0.1656346321105957, 'Height': 0.014401623979210854, 'Left': 0.5685266256332397, 'Top': 0.8483375310897827}",22,"{'Width': 0.7371335029602051, 'Height': 0.013282544910907745, 'Left': 0.17536655068397522, 'Top': 0.10644854605197906}",6,"{'Width': 0.17202766239643097, 'Height': 0.031093530356884003, 'Left': 0.5563321709632874, 'Top': 0.38184890151023865}",20
Non spécifié,Non spécifié,49250,9,2007-03-26,bâtiment ROSTAND,5 082 EUR HT par trimestre,75000,2016-03-25,2007-04-02,2007-01-12,"Bail commercial pour des locaux à usage de restauration, d'une durée de 9 ans à compter du 26 mars 2007. Le loyer annuel est fixé à 49 250 euros, avec des charges provisionnelles de 5 082 euros par trimestre. Le bail a été signé le 2 avril 2007.",PARIS,cong + bail VILLEPINTE QR 1er tage_biff.pdf,"{'Width': 0.2878483831882477, 'Height': 0.013072846457362175, 'Left': 0.1269618272781372, 'Top': 0.24795326590538025}",2,"{'Width': 0.2816805839538574, 'Height': 0.012984665110707283, 'Left': 0.12506850063800812, 'Top': 0.5197184681892395}",2,"{'Width': 0.8103259801864624, 'Height': 0.013078228570520878, 'Left': 0.12673527002334595, 'Top': 0.12671269476413727}",5,"{'Width': 0.8137148022651672, 'Height': 0.01300894282758236, 'Left': 0.12421541661024094, 'Top': 0.5795276165008545}",4,"{'Width': 0.4013572633266449, 'Height': 0.01254719402641058, 'Left': 0.3309103846549988, 'Top': 0.6254050135612488}",4,"{'Width': 0.49394720792770386, 'Height': 0.010854905471205711, 'Left': 0.13652122020721436, 'Top': 0.34346291422843933}",3,"{'Width': 0.8072513937950134, 'Height': 0.013333763927221298, 'Left': 0.13827084004878998, 'Top': 0.2842143774032593}",6,"{'Width': 0.10108688473701477, 'Height': 0.010671071708202362, 'Left': 0.5689681768417358, 'Top': 0.41841328144073486}",19,"{'Width': 0.4013572633266449, 'Height': 0.01254719402641058, 'Left': 0.3309103846549988, 'Top': 0.6254050135612488}",4,"{'Width': 0.17340020835399628, 'Height': 0.01654396578669548, 'Left': 0.5692477226257324, 'Top': 0.4274584949016571}",19,"{'Width': 0.23010309040546417, 'Height': 0.010691654868423939, 'Left': 0.18730400502681732, 'Top': 0.14860333502292633}",6,"{'Width': 0.10108688473701477, 'Height': 0.010671071708202362, 'Left': 0.5689681768417358, 'Top': 0.41841328144073486}",19
La,La,0,9,2003-04-01,2,0,0,2012-03-31,2003-04-09,0101-01-01,"Ce document est un contrat de bail commercial pour un restaurant, signé le 9 avril 2003. Le bail est conclu pour une durée de 9 ans, du 1er avril 2003 au 31 mars 2012. Les informations concernant le bailleur, le locataire, l'adresse et le loyer sont incomplètes ou manquantes dans le document fourni.",PARIS,Q145 CREIL - 0909 LGAI_biff.pdf,"{'Width': 0.023738987743854523, 'Height': 0.01123538427054882, 'Left': 0.14117494225502014, 'Top': 0.17929932475090027}",1,"{'Width': 0.021955855190753937, 'Height': 0.011316701769828796, 'Left': 0.1405828297138214, 'Top': 0.37771713733673096}",1,"{'Width': 0.7705907225608826, 'Height': 0.012085466645658016, 'Left': 0.13804703950881958, 'Top': 0.4894937574863434}",5,"{'Width': 0.7632389068603516, 'Height': 0.014542941004037857, 'Left': 0.13922542333602905, 'Top': 0.10055187344551086}",3,"{'Width': 0.5254629850387573, 'Height': 0.014556128531694412, 'Left': 0.13895606994628906, 'Top': 0.11519228667020798}",3,"{'Width': 0.009405513294041157, 'Height': 0.01061173528432846, 'Left': 0.8915895819664001, 'Top': 0.04188857972621918}",2,"{'Width': 0.7723265886306763, 'Height': 0.01417030394077301, 'Left': 0.13580742478370667, 'Top': 0.7051655054092407}",3,"{'Width': 0.7476155757904053, 'Height': 0.014093476347625256, 'Left': 0.1405782550573349, 'Top': 0.6198208928108215}",7,"{'Width': 0.5254629850387573, 'Height': 0.014556128531694412, 'Left': 0.13895606994628906, 'Top': 0.11519228667020798}",3,"{'Width': 0.11794701218605042, 'Height': 0.011451623402535915, 'Left': 0.14060257375240326, 'Top': 0.6920937299728394}",7,"{'Width': 0.7705907225608826, 'Height': 0.012085466645658016, 'Left': 0.13804703950881958, 'Top': 0.4894937574863434}",5,"{'Width': 0.7476155757904053, 'Height': 0.014093476347625256, 'Left': 0.1405782550573349, 'Top': 0.6198208928108215}",7
La Société,La,12,12,2010-02-01,Paris,"Le LOCATAIRE devra payer toutes quittances liées à l'usage de son fonds et notamment d'eau, de gaz, d'électricité",75000,2022-01-31,2009-11-24,2010-02-01,"Contrat de bail commercial pour l'exploitation d'un restaurant. Le bail est conclu pour une durée de 12 ans, du 1er février 2010 au 31 janvier 2022. Le locataire a la faculté de résilier le bail à la fin de chaque période triennale.",Paris,Q153 FAYET - 1002 LGAI_biff.pdf,"{'Width': 0.09950912743806839, 'Height': 0.011573860421776772, 'Left': 0.14423301815986633, 'Top': 0.17532682418823242}",1,"{'Width': 0.023119527846574783, 'Height': 0.010935052298009396, 'Left': 0.14277797937393188, 'Top': 0.36175090074539185}",1,"{'Width': 0.7708731293678284, 'Height': 0.014376466162502766, 'Left': 0.14081834256649017, 'Top': 0.8474718332290649}",2,"{'Width': 0.7708731293678284, 'Height': 0.014376466162502766, 'Left': 0.14081834256649017, 'Top': 0.8474718332290649}",2,"{'Width': 0.6792585253715515, 'Height': 0.014049936085939407, 'Left': 0.1401522010564804, 'Top': 0.8625995516777039}",2,"{'Width': 0.7483459711074829, 'Height': 0.013778735883533955, 'Left': 0.13460996747016907, 'Top': 0.6181143522262573}",7,"{'Width': 0.7681692242622375, 'Height': 0.013941621407866478, 'Left': 0.13753876090049744, 'Top': 0.5298709869384766}",5,"{'Width': 0.7483459711074829, 'Height': 0.013778735883533955, 'Left': 0.13460996747016907, 'Top': 0.6181143522262573}",7,"{'Width': 0.6792585253715515, 'Height': 0.014049936085939407, 'Left': 0.1401522010564804, 'Top': 0.8625995516777039}",2,"{'Width': 0.1730046421289444, 'Height': 0.011692048981785774, 'Left': 0.13395777344703674, 'Top': 0.6895782947540283}",7,"{'Width': 0.6792585253715515, 'Height': 0.014049936085939407, 'Left': 0.1401522010564804, 'Top': 0.8625995516777039}",2,"{'Width': 0.7483459711074829, 'Height': 0.013778735883533955, 'Left': 0.13460996747016907, 'Top': 0.6181143522262573}",7
LE LOCATAIRE PRINCIPAL,LE SOUS LOCATAIRE,306894,9,2007-09-25,sis à,"Le SOUS LOCATAIRE devra payer toutes charges, impôts et taxes liés à l'exploitation de son fonds",75008,2016-09-24,2007-09-25,1200-01-01,"Contrat de sous-bail commercial entre 'LE LOCATAIRE PRINCIPAL' et 'LE SOUS LOCATAIRE' pour une durée de 9 ans, du 25 septembre 2007 au 24 septembre 2016. Le loyer est fixé à 12% du chiffre d'affaires hors taxes, avec un loyer minimum garanti de 306 894 euros pour la première année. Le contrat a été signé le 25 septembre 2007.",PARIS,Q241 BESANCON CHATEAUFARINE - 0709 ssbail commercial_biff.pdf,"{'Width': 0.4352113604545593, 'Height': 0.013423296622931957, 'Left': 0.45079830288887024, 'Top': 0.312618613243103}",1,"{'Width': 0.40244340896606445, 'Height': 0.013742315582931042, 'Left': 0.4844301640987396, 'Top': 0.46928736567497253}",1,"{'Width': 0.3586087226867676, 'Height': 0.011741825379431248, 'Left': 0.1964641511440277, 'Top': 0.8463317155838013}",2,"{'Width': 0.7167835831642151, 'Height': 0.013887266628444195, 'Left': 0.16890104115009308, 'Top': 0.7308206558227539}",3,"{'Width': 0.7126742005348206, 'Height': 0.013714992441236973, 'Left': 0.12061477452516556, 'Top': 0.7454352378845215}",3,"{'Width': 0.32725101709365845, 'Height': 0.013724052347242832, 'Left': 0.1220812052488327, 'Top': 0.19006381928920746}",2,"{'Width': 0.7148265838623047, 'Height': 0.014142926782369614, 'Left': 0.17029833793640137, 'Top': 0.7758485674858093}",6,"{'Width': 0.04920743778347969, 'Height': 0.0061063035391271114, 'Left': 0.7766284942626953, 'Top': 0.7896884679794312}",12,"{'Width': 0.7126742005348206, 'Height': 0.013714992441236973, 'Left': 0.12061477452516556, 'Top': 0.7454352378845215}",3,"{'Width': 0.17918050289154053, 'Height': 0.013882074505090714, 'Left': 0.12190590798854828, 'Top': 0.29657483100891113}",9,"{'Width': 0.7172525525093079, 'Height': 0.013818742707371712, 'Left': 0.16873612999916077, 'Top': 0.6967035531997681}",2,"{'Width': 0.038783278316259384, 'Height': 0.007960437797009945, 'Left': 0.3528169095516205, 'Top': 0.8575680255889893}",12
représenté aux présentes par administrateur de biens,La,76220,12,2007-08-01,Divers locaux dépendant d'un ensemble immobilier soumis au statut de la copropriété sis à,"Le preneur remboursera au bailleur sa quote-part dans les charges, taxes et prestations de toute nature afférentes aux locaux loués.",42000,2019-07-31,2009-09-01,2007-03-31,"Bail commercial pour une activité de restauration d'une durée de 12 ans, débutant le 1er août 2007 et se terminant le 31 juillet 2019. Le loyer minimum annuel est de 76 220 euros, avec une clause d'indexation basée sur l'indice du coût de la construction. Le contrat a été signé le 1er septembre 2009 à Saint-Etienne.",Saint Etienne,Bail FQ - Saint Etienne_biff.pdf,"{'Width': 0.1901921033859253, 'Height': 0.011589279398322105, 'Left': 0.12792524695396423, 'Top': 0.3226236402988434}",1,"{'Width': 0.017656538635492325, 'Height': 0.00888200756162405, 'Left': 0.12814563512802124, 'Top': 0.42061638832092285}",1,"{'Width': 0.7877781987190247, 'Height': 0.011933280155062675, 'Left': 0.12802359461784363, 'Top': 0.8096626996994019}",7,"{'Width': 0.09721163660287857, 'Height': 0.009391595609486103, 'Left': 0.47243350744247437, 'Top': 0.09882496297359467}",1,"{'Width': 0.1919918656349182, 'Height': 0.01224491000175476, 'Left': 0.4730784595012665, 'Top': 0.11207971721887589}",1,"{'Width': 0.5970122218132019, 'Height': 0.011563336476683617, 'Left': 0.12868373095989227, 'Top': 0.06955614686012268}",2,"{'Width': 0.7797667384147644, 'Height': 0.012007084675133228, 'Left': 0.12965328991413116, 'Top': 0.8795411586761475}",8,"{'Width': 0.2163645178079605, 'Height': 0.009359337389469147, 'Left': 0.12845462560653687, 'Top': 0.22553707659244537}",2,"{'Width': 0.779788076877594, 'Height': 0.011437713168561459, 'Left': 0.15146662294864655, 'Top': 0.4509851634502411}",2,"{'Width': 0.425346314907074, 'Height': 0.01264892052859068, 'Left': 0.1276697814464569, 'Top': 0.558120608329773}",10,"{'Width': 0.8040904998779297, 'Height': 0.011973999440670013, 'Left': 0.12956148386001587, 'Top': 0.587497889995575}",9,"{'Width': 0.2163645178079605, 'Height': 0.009359337389469147, 'Left': 0.12845462560653687, 'Top': 0.22553707659244537}",2
SOCIETE BAILLERESSE,PRENEUR,1336264,12,2010-12-01,Sur son site,"Provisions trimestrielles de 13 468 euros pour les charges de bâtiment et 21 339 euros pour la taxe foncière, plus un forfait de 16% du loyer pour les charges de site et de stationnement.",75012,2022-11-30,2010-04-06,2009-09-30,"Bail commercial d'une durée de 12 ans, signé le 6 avril 2010, entre la SOCIETE BAILLERESSE (bailleur) et le PRENEUR (locataire). Le bail, prenant effet le 1er décembre 2010, concerne des locaux à usage de bureaux et d'activité. Le loyer annuel initial est de 1 336 264 euros, avec une période ferme de 9 ans. L'indexation est basée sur l'indice INSEE du 3ème trimestre 2009.",PARIS,bail LA PLAINE_biff.pdf,"{'Width': 0.3741208612918854, 'Height': 0.012455932796001434, 'Left': 0.17411740124225616, 'Top': 0.2907963693141937}",1,"{'Width': 0.26239079236984253, 'Height': 0.012049006298184395, 'Left': 0.17364193499088287, 'Top': 0.48277032375335693}",1,"{'Width': 0.7269428372383118, 'Height': 0.012428110465407372, 'Left': 0.14940087497234344, 'Top': 0.45114845037460327}",20,"{'Width': 0.7552995085716248, 'Height': 0.011977150104939938, 'Left': 0.11775409430265427, 'Top': 0.4976405203342438}",2,"{'Width': 0.6147744655609131, 'Height': 0.012589843943715096, 'Left': 0.17940287292003632, 'Top': 0.5275223255157471}",20,"{'Width': 0.09031101316213608, 'Height': 0.010134976357221603, 'Left': 0.1461138278245926, 'Top': 0.5060563087463379}",18,"{'Width': 0.47289976477622986, 'Height': 0.0107542984187603, 'Left': 0.11778360605239868, 'Top': 0.3119296133518219}",21,"{'Width': 0.8914079070091248, 'Height': 0.00989194680005312, 'Left': 0.03912384435534477, 'Top': 0.9265877604484558}",51,"{'Width': 0.7552995085716248, 'Height': 0.011977150104939938, 'Left': 0.11775409430265427, 'Top': 0.4976405203342438}",2,"{'Width': 0.16619160771369934, 'Height': 0.028462734073400497, 'Left': 0.3125506639480591, 'Top': 0.34521520137786865}",28,"{'Width': 0.6692017912864685, 'Height': 0.014199714176356792, 'Left': 0.1445675790309906, 'Top': 0.8537284135818481}",21,"{'Width': 0.09623228758573532, 'Height': 0.010436289943754673, 'Left': 0.1205950453877449, 'Top': 0.3440267741680145}",28
